year,month,state,unemployment
1994,Apr,Virginia,5
1994,Apr,Washington,6.8
1994,Apr,West Virginia,9.5
1994,Apr,Wisconsin,4.9
1994,Apr,Wyoming,5.4
1994,May,Alabama,5.6
1994,May,Alaska,7.9
1994,May,Arizona,5.9
1994,May,Arkansas,5.3
1994,May,California,8.2
1994,May,Colorado,4.2
1994,May,Connecticut,5.3
1994,May,Delaware,4.6
1994,May,District of Columbia,7.6
1994,May,Florida,6.3
1994,May,Georgia,4.9
1994,May,Hawaii,5.5
1994,May,Idaho,4.7
1994,May,Illinois,5.5
1994,May,Indiana,4.7
1994,May,Iowa,3.1
1994,May,Kansas,4.5
1994,May,Kentucky,5.1
1994,May,Louisiana,7.6
1994,May,Maine,7.2
1994,May,Maryland,5.2
1994,May,Massachusetts,5.8
1994,May,Michigan,5.7
1994,May,Minnesota,3.4
1994,May,Mississippi,6.4
1994,May,Missouri,4.5
1994,May,Montana,4.5
1994,May,Nebraska,2.5
1994,May,Nevada,5.9
1994,May,New Hampshire,4.5
1994,May,New Jersey,6.7
1994,May,New Mexico,6.3
1994,May,New York,6.8
1994,May,North Carolina,4.2
1994,May,North Dakota,3.3
1994,May,Ohio,5.5
1994,May,Oklahoma,5.7
1994,May,Oregon,5
1994,May,Pennsylvania,6.2
1994,May,Rhode Island,6.6
1994,May,South Carolina,6.1
1994,May,South Dakota,3.1
1994,May,Tennessee,4.2
1994,May,Texas,6.3
1994,May,Utah,3.6
1994,May,Vermont,4.6
1994,May,Virginia,4.8
1994,May,Washington,6.3
1994,May,West Virginia,8.8
1994,May,Wisconsin,4.3
1994,May,Wyoming,4.8
1994,Jun,Alabama,6.7
1994,Jun,Alaska,7.6
1994,Jun,Arizona,6.7
1994,Jun,Arkansas,5.7
1994,Jun,California,8.6
1994,Jun,Colorado,4.6
1994,Jun,Connecticut,5.7
1994,Jun,Delaware,5.1
1994,Jun,District of Columbia,8.2
1994,Jun,Florida,6.8
1994,Jun,Georgia,5.5
1994,Jun,Hawaii,6.2
1994,Jun,Idaho,4.8
1994,Jun,Illinois,5.8
1994,Jun,Indiana,4.8
1994,Jun,Iowa,3.4
1994,Jun,Kansas,4.9
1994,Jun,Kentucky,5.6
1994,Jun,Louisiana,8.8
1994,Jun,Maine,6.8
1994,Jun,Maryland,5.4
1994,Jun,Massachusetts,6.2
1994,Jun,Michigan,6
1994,Jun,Minnesota,4
1994,Jun,Mississippi,7.3
1994,Jun,Missouri,5
1994,Jun,Montana,5
1994,Jun,Nebraska,2.9
1994,Jun,Nevada,6.3
1994,Jun,New Hampshire,4.6
1994,Jun,New Jersey,6.8
1994,Jun,New Mexico,7.1
1994,Jun,New York,6.9
1994,Jun,North Carolina,4.6
1994,Jun,North Dakota,4
1994,Jun,Ohio,5.7
1994,Jun,Oklahoma,5.9
1994,Jun,Oregon,5.3
1994,Jun,Pennsylvania,6.4
1994,Jun,Rhode Island,6.6
1994,Jun,South Carolina,6.6
1994,Jun,South Dakota,3.2
1994,Jun,Tennessee,5.1
1994,Jun,Texas,7
1994,Jun,Utah,4.2
1994,Jun,Vermont,4.5
1994,Jun,Virginia,5.1
1994,Jun,Washington,6.3
1994,Jun,West Virginia,8.9
1994,Jun,Wisconsin,4.8
1994,Jun,Wyoming,4.7
1994,Jul,Alabama,6.6
1994,Jul,Alaska,6.8
1994,Jul,Arizona,6.7
1994,Jul,Arkansas,5.8
1994,Jul,California,8.9
1994,Jul,Colorado,4.2
1994,Jul,Connecticut,5.9
1994,Jul,Delaware,4.8
1994,Jul,District of Columbia,8.2
1994,Jul,Florida,6.9
1994,Jul,Georgia,5.6
1994,Jul,Hawaii,6
1994,Jul,Idaho,4.8
1994,Jul,Illinois,5.8
1994,Jul,Indiana,5
1994,Jul,Iowa,3
1994,Jul,Kansas,5
1994,Jul,Kentucky,5.5
1994,Jul,Louisiana,8.4
1994,Jul,Maine,6.5
1994,Jul,Maryland,5.2
1994,Jul,Massachusetts,6.1
1994,Jul,Michigan,6.5
1994,Jul,Minnesota,3.6
1994,Jul,Mississippi,6.5
1994,Jul,Missouri,4.7
1994,Jul,Montana,4.5
1994,Jul,Nebraska,2.8
1994,Jul,Nevada,6.2
1994,Jul,New Hampshire,4.5
1994,Jul,New Jersey,7.2
1994,Jul,New Mexico,6.8
1994,Jul,New York,7
1994,Jul,North Carolina,4.7
1994,Jul,North Dakota,3.5
1994,Jul,Ohio,5.7
1994,Jul,Oklahoma,5.4
1994,Jul,Oregon,5.1
1994,Jul,Pennsylvania,6.4
1994,Jul,Rhode Island,6.9
1994,Jul,South Carolina,6.2
1994,Jul,South Dakota,3
1994,Jul,Tennessee,5.1
1994,Jul,Texas,6.8
1994,Jul,Utah,4
1994,Jul,Vermont,4.2
1994,Jul,Virginia,4.8
1994,Jul,Washington,6.1
1994,Jul,West Virginia,8.3
1994,Jul,Wisconsin,4.4
1994,Jul,Wyoming,4.3
1994,Aug,Alabama,6.4
1994,Aug,Alaska,6.3
1994,Aug,Arizona,6.9
1994,Aug,Arkansas,5.1
1994,Aug,California,8.4
1994,Aug,Colorado,3.9
1994,Aug,Connecticut,5.7
1994,Aug,Delaware,4.5
1994,Aug,District of Columbia,7.7
1994,Aug,Florida,6.7
1994,Aug,Georgia,5
1994,Aug,Hawaii,5.8
1994,Aug,Idaho,4.8
1994,Aug,Illinois,5.5
1994,Aug,Indiana,4.8
1994,Aug,Iowa,3.2
1994,Aug,Kansas,5
1994,Aug,Kentucky,5.1
1994,Aug,Louisiana,8.2
1994,Aug,Maine,5.9
1994,Aug,Maryland,5.1
1994,Aug,Massachusetts,5.8
1994,Aug,Michigan,5.5
1994,Aug,Minnesota,3.6
1994,Aug,Mississippi,6.3
1994,Aug,Missouri,4.9
1994,Aug,Montana,4.5
1994,Aug,Nebraska,2.4
1994,Aug,Nevada,5.9
1994,Aug,New Hampshire,4.5
1994,Aug,New Jersey,6.6
1994,Aug,New Mexico,6.4
1994,Aug,New York,6.6
1994,Aug,North Carolina,4.5
1994,Aug,North Dakota,3.4
1994,Aug,Ohio,5.2
1994,Aug,Oklahoma,5.4
1994,Aug,Oregon,5
1994,Aug,Pennsylvania,6.1
1994,Aug,Rhode Island,6.6
1994,Aug,South Carolina,6.3
1994,Aug,South Dakota,3.1
1994,Aug,Tennessee,5
1994,Aug,Texas,6.5
1994,Aug,Utah,4.1
1994,Aug,Vermont,4
1994,Aug,Virginia,4.8
1994,Aug,Washington,6.1
1994,Aug,West Virginia,8.2
1994,Aug,Wisconsin,4.2
1994,Aug,Wyoming,4.1
1994,Oct,Alabama,5.8
1994,Oct,Alaska,6.8
1994,Oct,Arizona,6.1
1994,Oct,Arkansas,4.4
1994,Oct,California,7.9
1994,Oct,Colorado,3.4
1994,Oct,Connecticut,5.1
1994,Oct,Delaware,4.1
1994,Oct,District of Columbia,7.5
1994,Oct,Florida,6.1
1994,Oct,Georgia,4.8
1994,Oct,Hawaii,5.6
1994,Oct,Idaho,4.7
1994,Oct,Illinois,5
1994,Oct,Indiana,4.4
1994,Oct,Iowa,3
1994,Oct,Kansas,4.6
1994,Oct,Kentucky,4.7
1994,Oct,Louisiana,7.5
1994,Oct,Maine,5.9
1994,Oct,Maryland,4.8
1994,Oct,Massachusetts,5.4
1994,Oct,Michigan,4.9
1994,Oct,Minnesota,3.3
1994,Oct,Mississippi,5.7
1994,Oct,Missouri,4.1
1994,Oct,Montana,4.6
1994,Oct,Nebraska,2.3
1994,Oct,Nevada,5.7
1994,Oct,New Hampshire,3.9
1994,Oct,New Jersey,6.2
1994,Oct,New Mexico,6
1994,Oct,New York,6.2
1994,Oct,North Carolina,4
1994,Oct,North Dakota,2.7
1994,Oct,Ohio,4.5
1994,Oct,Oklahoma,5.1
1994,Oct,Oregon,4.3
1994,Oct,Pennsylvania,5.6
1994,Oct,Rhode Island,6.2
1994,Oct,South Carolina,5.5
1994,Oct,South Dakota,2.8
1994,Oct,Tennessee,4.3
1994,Oct,Texas,5.8
1994,Oct,Utah,3.6
1994,Oct,Vermont,3.6
1994,Oct,Virginia,4.3
1994,Oct,Washington,5.6
1994,Oct,West Virginia,7.4
1994,Oct,Wisconsin,3.6
1994,Oct,Wyoming,4
1994,Nov,Alabama,5.5
1994,Nov,Alaska,7.3
1994,Nov,Arizona,5.5
1994,Nov,Arkansas,4.4
1994,Nov,California,7.8
1994,Nov,Colorado,3.5
1994,Nov,Connecticut,5.4
1994,Nov,Delaware,3.7
1994,Nov,District of Columbia,7.7
1994,Nov,Florida,5.8
1994,Nov,Georgia,4.3
1994,Nov,Hawaii,5.4
1994,Nov,Idaho,5.3
1994,Nov,Illinois,4.6
1994,Nov,Indiana,4.1
1994,Nov,Iowa,3
1994,Nov,Kansas,4.6
1994,Nov,Kentucky,4.6
1994,Nov,Louisiana,7
1994,Nov,Maine,6.3
1994,Nov,Maryland,4.7
1994,Nov,Massachusetts,5.3
1994,Nov,Michigan,4.5
1994,Nov,Minnesota,3.3
1994,Nov,Mississippi,5.3
1994,Nov,Missouri,4.4
1994,Nov,Montana,5.1
1994,Nov,Nebraska,2.1
1994,Nov,Nevada,5.7
1994,Nov,New Hampshire,4
1994,Nov,New Jersey,6
1994,Nov,New Mexico,6
1994,Nov,New York,6
1994,Nov,North Carolina,4
1994,Nov,North Dakota,3
1994,Nov,Ohio,4.2
1994,Nov,Oklahoma,4.9
1994,Nov,Oregon,4.6
1994,Nov,Pennsylvania,5.5
1994,Nov,Rhode Island,6
1994,Nov,South Carolina,5.2
1994,Nov,South Dakota,3
1994,Nov,Tennessee,4.1
1994,Nov,Texas,5.7
1994,Nov,Utah,3.5
1994,Nov,Vermont,4
1994,Nov,Virginia,4.2
1994,Nov,Washington,6.2
1994,Nov,West Virginia,7.3
1994,Nov,Wisconsin,3.5
1994,Nov,Wyoming,4.4
1994,Dec,Alabama,5.3
1994,Dec,Alaska,7.5
1994,Dec,Arizona,5.1
1994,Dec,Arkansas,4.7
1994,Dec,California,7.3
1994,Dec,Colorado,3.4
1994,Dec,Connecticut,5.1
1994,Dec,Delaware,3.6
1994,Dec,District of Columbia,7.7
1994,Dec,Florida,5.2
1994,Dec,Georgia,4
1994,Dec,Hawaii,4.7
1994,Dec,Idaho,5.7
1994,Dec,Illinois,4.5
1994,Dec,Indiana,4
1994,Dec,Iowa,3.5
1994,Dec,Kansas,4.4
1994,Dec,Kentucky,4.6
1994,Dec,Louisiana,6.6
1994,Dec,Maine,6.3
1994,Dec,Maryland,4.5
1994,Dec,Massachusetts,5.3
1994,Dec,Michigan,4.5
1994,Dec,Minnesota,3.7
1994,Dec,Mississippi,5.3
1994,Dec,Missouri,4.5
1994,Dec,Montana,5.6
1994,Dec,Nebraska,2.4
1994,Dec,Nevada,5.6
1994,Dec,New Hampshire,4
1994,Dec,New Jersey,5.8
1994,Dec,New Mexico,5.9
1994,Dec,New York,5.8
1994,Dec,North Carolina,3.5
1994,Dec,North Dakota,3.5
1994,Dec,Ohio,4.1
1994,Dec,Oklahoma,4.8
1994,Dec,Oregon,4.5
1994,Dec,Pennsylvania,5.2
1994,Dec,Rhode Island,5.9
1994,Dec,South Carolina,4.9
1994,Dec,South Dakota,3.1
1994,Dec,Tennessee,4.1
1994,Dec,Texas,5.4
1994,Dec,Utah,3.4
1994,Dec,Vermont,3.9
1994,Dec,Virginia,4.1
1994,Dec,Washington,6.1
1994,Dec,West Virginia,7.5
1994,Dec,Wisconsin,3.3
1994,Dec,Wyoming,4.7
1994,Sep,Alabama,5.7
1994,Sep,Alaska,6.4
1994,Sep,Arizona,6.5
1994,Sep,Arkansas,4.7
1994,Sep,California,8.1
1994,Sep,Colorado,3.6
1994,Sep,Connecticut,5.4
1994,Sep,Delaware,4.3
1994,Sep,District of Columbia,7.6
1994,Sep,Florida,6.5
1994,Sep,Georgia,4.8
1994,Sep,Hawaii,5.9
1994,Sep,Idaho,4.6
1994,Sep,Illinois,5
1994,Sep,Indiana,4.3
1994,Sep,Iowa,3.1
1994,Sep,Kansas,4.7
1994,Sep,Kentucky,5
1994,Sep,Louisiana,7.7
1994,Sep,Maine,5.8
1994,Sep,Maryland,4.9
1994,Sep,Massachusetts,5.8
1994,Sep,Michigan,5.2
1994,Sep,Minnesota,3.7
1994,Sep,Mississippi,5.6
1994,Sep,Missouri,4.5
1994,Sep,Montana,4.4
1994,Sep,Nebraska,2.3
1994,Sep,Nevada,6
1994,Sep,New Hampshire,4.2
1994,Sep,New Jersey,6.4
1994,Sep,New Mexico,6.2
1994,Sep,New York,6.3
1994,Sep,North Carolina,4.1
1994,Sep,North Dakota,2.9
1994,Sep,Ohio,4.9
1994,Sep,Oklahoma,5.1
1994,Sep,Oregon,4.2
1994,Sep,Pennsylvania,5.8
1994,Sep,Rhode Island,6.3
1994,Sep,South Carolina,5.8
1994,Sep,South Dakota,3
1994,Sep,Tennessee,4.6
1994,Sep,Texas,6.2
1994,Sep,Utah,3.6
1994,Sep,Vermont,4
1994,Sep,Virginia,4.6
1994,Sep,Washington,5.7
1994,Sep,West Virginia,7.5
1994,Sep,Wisconsin,3.7
1994,Sep,Wyoming,3.9
1995,Jan,Alabama,6.6
1995,Jan,Alaska,8.5
1995,Jan,Arizona,5.9
1995,Jan,Arkansas,5.7
1995,Jan,California,8.5
1995,Jan,Colorado,4.3
1995,Jan,Connecticut,6.3
1995,Jan,Delaware,4.6
1995,Jan,District of Columbia,8.7
1995,Jan,Florida,5.9
1995,Jan,Georgia,4.9
1995,Jan,Hawaii,5.5
1995,Jan,Idaho,6.9
1995,Jan,Illinois,5.7
1995,Jan,Indiana,4.9
1995,Jan,Iowa,4.3
1995,Jan,Kansas,5.4
1995,Jan,Kentucky,6
1995,Jan,Louisiana,7.9
1995,Jan,Maine,7.7
1995,Jan,Maryland,5.4
1995,Jan,Massachusetts,6.4
1995,Jan,Michigan,6
1995,Jan,Minnesota,4.9
1995,Jan,Mississippi,6.8
1995,Jan,Missouri,5.6
1995,Jan,Montana,6.6
1995,Jan,Nebraska,3.1
1995,Jan,Nevada,6.6
1995,Jan,New Hampshire,4.8
1995,Jan,New Jersey,7
1995,Jan,New Mexico,6.8
1995,Jan,New York,7
1995,Jan,North Carolina,4.5
1995,Jan,North Dakota,4.5
1995,Jan,Ohio,5.3
1995,Jan,Oklahoma,5.4
1995,Jan,Oregon,5.7
1995,Jan,Pennsylvania,6.5
1995,Jan,Rhode Island,7.9
1995,Jan,South Carolina,5.8
1995,Jan,South Dakota,3.8
1995,Jan,Tennessee,5.4
1995,Jan,Texas,6.4
1995,Jan,Utah,4.1
1995,Jan,Vermont,5.1
1995,Jan,Virginia,5
1995,Jan,Washington,7.1
1995,Jan,West Virginia,8.6
1995,Jan,Wisconsin,4.5
1995,Jan,Wyoming,6
1995,Feb,Alabama,6.3
1995,Feb,Alaska,8.6
1995,Feb,Arizona,5.1
1995,Feb,Arkansas,5.7
1995,Feb,California,8.1
1995,Feb,Colorado,4.1
1995,Feb,Connecticut,6.1
1995,Feb,Delaware,4.5
1995,Feb,District of Columbia,8.7
1995,Feb,Florida,5.1
1995,Feb,Georgia,4.4
1995,Feb,Hawaii,5.2
1995,Feb,Idaho,6.5
1995,Feb,Illinois,5.5
1995,Feb,Indiana,4.8
1995,Feb,Iowa,4
1995,Feb,Kansas,4.8
1995,Feb,Kentucky,6.1
1995,Feb,Louisiana,6.9
1995,Feb,Maine,7.5
1995,Feb,Maryland,5.2
1995,Feb,Massachusetts,5.9
1995,Feb,Michigan,5.7
1995,Feb,Minnesota,4.5
1995,Feb,Mississippi,5.9
1995,Feb,Missouri,5.6
1995,Feb,Montana,7.2
1995,Feb,Nebraska,2.8
1995,Feb,Nevada,6.1
1995,Feb,New Hampshire,4.8
1995,Feb,New Jersey,6.8
1995,Feb,New Mexico,6.5
1995,Feb,New York,6.7
1995,Feb,North Carolina,4.4
1995,Feb,North Dakota,4.3
1995,Feb,Ohio,4.9
1995,Feb,Oklahoma,5.1
1995,Feb,Oregon,5.8
1995,Feb,Pennsylvania,6.4
1995,Feb,Rhode Island,7.6
1995,Feb,South Carolina,5.2
1995,Feb,South Dakota,3.5
1995,Feb,Tennessee,4.9
1995,Feb,Texas,5.9
1995,Feb,Utah,4.1
1995,Feb,Vermont,5
1995,Feb,Virginia,4.6
1995,Feb,Washington,7.3
1995,Feb,West Virginia,9
1995,Feb,Wisconsin,4.7
1995,Feb,Wyoming,5.8
1995,Mar,Alabama,5.8
1995,Mar,Alaska,8.1
1995,Mar,Arizona,5.2
1995,Mar,Arkansas,4.8
1995,Mar,California,8
1995,Mar,Colorado,4.1
1995,Mar,Connecticut,5.7
1995,Mar,Delaware,4.3
1995,Mar,District of Columbia,8.5
1995,Mar,Florida,5
1995,Mar,Georgia,4.3
1995,Mar,Hawaii,5.3
1995,Mar,Idaho,6.3
1995,Mar,Illinois,5.3
1995,Mar,Indiana,5.1
1995,Mar,Iowa,3.9
1995,Mar,Kansas,4.8
1995,Mar,Kentucky,5.5
1995,Mar,Louisiana,6.9
1995,Mar,Maine,7.2
1995,Mar,Maryland,5
1995,Mar,Massachusetts,5.7
1995,Mar,Michigan,5.9
1995,Mar,Minnesota,4.4
1995,Mar,Mississippi,5.9
1995,Mar,Missouri,5.4
1995,Mar,Montana,6.3
1995,Mar,Nebraska,2.7
1995,Mar,Nevada,5.8
1995,Mar,New Hampshire,4.6
1995,Mar,New Jersey,6.6
1995,Mar,New Mexico,6.5
1995,Mar,New York,6.6
1995,Mar,North Carolina,4.1
1995,Mar,North Dakota,4
1995,Mar,Ohio,4.8
1995,Mar,Oklahoma,4.6
1995,Mar,Oregon,5.3
1995,Mar,Pennsylvania,6.1
1995,Mar,Rhode Island,7.2
1995,Mar,South Carolina,4.6
1995,Mar,South Dakota,3.4
1995,Mar,Tennessee,4.9
1995,Mar,Texas,5.7
1995,Mar,Utah,3.7
1995,Mar,Vermont,4.9
1995,Mar,Virginia,4.5
1995,Mar,Washington,6.7
1995,Mar,West Virginia,8.2
1995,Mar,Wisconsin,4.6
1995,Mar,Wyoming,5.5
1995,Apr,Alabama,5.8
1995,Apr,Alaska,7.4
1995,Apr,Arizona,5.2
1995,Apr,Arkansas,4.5
1995,Apr,California,8
1995,Apr,Colorado,3.9
1995,Apr,Connecticut,5.5
1995,Apr,Delaware,4.1
1995,Apr,District of Columbia,8.2
1995,Apr,Florida,5.2
1995,Apr,Georgia,4.8
1995,Apr,Hawaii,5.6
1995,Apr,Idaho,5.7
1995,Apr,Illinois,5.5
1995,Apr,Indiana,5
1995,Apr,Iowa,3.5
1995,Apr,Kansas,4.5
1995,Apr,Kentucky,5.2
1995,Apr,Louisiana,7
1995,Apr,Maine,6.6
1995,Apr,Maryland,5
1995,Apr,Massachusetts,5.3
1995,Apr,Michigan,5.6
1995,Apr,Minnesota,4.1
1995,Apr,Mississippi,5.8
1995,Apr,Missouri,5
1995,Apr,Montana,5.6
1995,Apr,Nebraska,2.6
1995,Apr,Nevada,5.7
1995,Apr,New Hampshire,4
1995,Apr,New Jersey,6.4
1995,Apr,New Mexico,6.3
1995,Apr,New York,6.4
1995,Apr,North Carolina,4.1
1995,Apr,North Dakota,3.4
1995,Apr,Ohio,4.6
1995,Apr,Oklahoma,4.2
1995,Apr,Oregon,5.1
1995,Apr,Pennsylvania,5.8
1995,Apr,Rhode Island,6.4
1995,Apr,South Carolina,4.7
1995,Apr,South Dakota,3
1995,Apr,Tennessee,5.1
1995,Apr,Texas,5.9
1995,Apr,Utah,3.5
1995,Apr,Vermont,4.6
1995,Apr,Virginia,4.4
1995,Apr,Washington,6.4
1995,Apr,West Virginia,7.9
1995,Apr,Wisconsin,4.2
1995,Apr,Wyoming,5
1995,May,Alabama,5.8
1995,May,Alaska,7
1995,May,Arizona,5.1
1995,May,Arkansas,4.6
1995,May,California,7.6
1995,May,Colorado,3.9
1995,May,Connecticut,5.5
1995,May,Delaware,3.8
1995,May,District of Columbia,8.6
1995,May,Florida,5.3
1995,May,Georgia,4.8
1995,May,Hawaii,5.8
1995,May,Idaho,4.9
1995,May,Illinois,5.1
1995,May,Indiana,4.8
1995,May,Iowa,3.2
1995,May,Kansas,4.4
1995,May,Kentucky,5.4
1995,May,Louisiana,7
1995,May,Maine,5.9
1995,May,Maryland,5
1995,May,Massachusetts,5.2
1995,May,Michigan,5.3
1995,May,Minnesota,3.4
1995,May,Mississippi,6.3
1995,May,Missouri,4.8
1995,May,Montana,5.1
1995,May,Nebraska,2.7
1995,May,Nevada,5.4
1995,May,New Hampshire,3.8
1995,May,New Jersey,6.5
1995,May,New Mexico,6.2
1995,May,New York,6.2
1995,May,North Carolina,4.3
1995,May,North Dakota,2.8
1995,May,Ohio,4.4
1995,May,Oklahoma,4.6
1995,May,Oregon,4.6
1995,May,Pennsylvania,5.9
1995,May,Rhode Island,6.2
1995,May,South Carolina,4.8
1995,May,South Dakota,2.9
1995,May,Tennessee,4.9
1995,May,Texas,5.8
1995,May,Utah,3.4
1995,May,Vermont,4.2
1995,May,Virginia,4.6
1995,May,Washington,6.3
1995,May,West Virginia,7.8
1995,May,Wisconsin,3.7
1995,May,Wyoming,4.7
1995,Jun,Alabama,6.7
1995,Jun,Alaska,7.3
1995,Jun,Arizona,5.7
1995,Jun,Arkansas,5
1995,Jun,California,7.8
1995,Jun,Colorado,4.4
1995,Jun,Connecticut,5.7
1995,Jun,Delaware,4.6
1995,Jun,District of Columbia,9.6
1995,Jun,Florida,5.8
1995,Jun,Georgia,5.3
1995,Jun,Hawaii,6.6
1995,Jun,Idaho,4.9
1995,Jun,Illinois,5.2
1995,Jun,Indiana,4.7
1995,Jun,Iowa,3.5
1995,Jun,Kansas,4.6
1995,Jun,Kentucky,5.7
1995,Jun,Louisiana,8
1995,Jun,Maine,5.7
1995,Jun,Maryland,5.4
1995,Jun,Massachusetts,5.5
1995,Jun,Michigan,5.7
1995,Jun,Minnesota,3.8
1995,Jun,Mississippi,7.3
1995,Jun,Missouri,5
1995,Jun,Montana,5.6
1995,Jun,Nebraska,2.9
1995,Jun,Nevada,5.7
1995,Jun,New Hampshire,3.9
1995,Jun,New Jersey,6.6
1995,Jun,New Mexico,7.1
1995,Jun,New York,6.2
1995,Jun,North Carolina,4.6
1995,Jun,North Dakota,3.6
1995,Jun,Ohio,4.8
1995,Jun,Oklahoma,4.9
1995,Jun,Oregon,4.8
1995,Jun,Pennsylvania,6
1995,Jun,Rhode Island,6.2
1995,Jun,South Carolina,5.5
1995,Jun,South Dakota,2.9
1995,Jun,Tennessee,5.7
1995,Jun,Texas,6.5
1995,Jun,Utah,4
1995,Jun,Vermont,4.2
1995,Jun,Virginia,4.7
1995,Jun,Washington,6.3
1995,Jun,West Virginia,8
1995,Jun,Wisconsin,3.9
1995,Jun,Wyoming,4.5
1995,Jul,Alabama,6.6
1995,Jul,Alaska,6.3
1995,Jul,Arizona,5.7
1995,Jul,Arkansas,5.2
1995,Jul,California,8.3
1995,Jul,Colorado,4.2
1995,Jul,Connecticut,5.8
1995,Jul,Delaware,4.3
1995,Jul,District of Columbia,9.2
1995,Jul,Florida,6.1
1995,Jul,Georgia,5.6
1995,Jul,Hawaii,6.4
1995,Jul,Idaho,4.8
1995,Jul,Illinois,5.3
1995,Jul,Indiana,4.6
1995,Jul,Iowa,3.1
1995,Jul,Kansas,4.7
1995,Jul,Kentucky,5.7
1995,Jul,Louisiana,7.5
1995,Jul,Maine,5.5
1995,Jul,Maryland,5.1
1995,Jul,Massachusetts,5.5
1995,Jul,Michigan,6.1
1995,Jul,Minnesota,3.5
1995,Jul,Mississippi,6.8
1995,Jul,Missouri,4.9
1995,Jul,Montana,5
1995,Jul,Nebraska,2.9
1995,Jul,Nevada,5.7
1995,Jul,New Hampshire,3.9
1995,Jul,New Jersey,6.9
1995,Jul,New Mexico,6.9
1995,Jul,New York,6.5
1995,Jul,North Carolina,4.8
1995,Jul,North Dakota,3
1995,Jul,Ohio,5
1995,Jul,Oklahoma,4.5
1995,Jul,Oregon,4.8
1995,Jul,Pennsylvania,6.1
1995,Jul,Rhode Island,6.4
1995,Jul,South Carolina,5.5
1995,Jul,South Dakota,2.9
1995,Jul,Tennessee,5.6
1995,Jul,Texas,6.5
1995,Jul,Utah,3.6
1995,Jul,Vermont,4.1
1995,Jul,Virginia,4.6
1995,Jul,Washington,6.2
1995,Jul,West Virginia,7.7
1995,Jul,Wisconsin,3.6
1995,Jul,Wyoming,4.2
1995,Aug,Alabama,6.4
1995,Aug,Alaska,6
1995,Aug,Arizona,5.8
1995,Aug,Arkansas,4.7
1995,Aug,California,7.8
1995,Aug,Colorado,4
1995,Aug,Connecticut,5.5
1995,Aug,Delaware,4.3
1995,Aug,District of Columbia,9
1995,Aug,Florida,6
1995,Aug,Georgia,5.1
1995,Aug,Hawaii,6.3
1995,Aug,Idaho,4.9
1995,Aug,Illinois,5.2
1995,Aug,Indiana,4.4
1995,Aug,Iowa,3.2
1995,Aug,Kansas,4.3
1995,Aug,Kentucky,5.4
1995,Aug,Louisiana,7.2
1995,Aug,Maine,4.9
1995,Aug,Maryland,5
1995,Aug,Massachusetts,5.1
1995,Aug,Michigan,5
1995,Aug,Minnesota,3.2
1995,Aug,Mississippi,6.6
1995,Aug,Missouri,4.6
1995,Aug,Montana,5.1
1995,Aug,Nebraska,2.4
1995,Aug,Nevada,5.3
1995,Aug,New Hampshire,3.9
1995,Aug,New Jersey,6.3
1995,Aug,New Mexico,6.5
1995,Aug,New York,6.3
1995,Aug,North Carolina,4.3
1995,Aug,North Dakota,2.8
1995,Aug,Ohio,4.8
1995,Aug,Oklahoma,4.4
1995,Aug,Oregon,4.6
1995,Aug,Pennsylvania,5.8
1995,Aug,Rhode Island,6.1
1995,Aug,South Carolina,5.4
1995,Aug,South Dakota,2.9
1995,Aug,Tennessee,5.6
1995,Aug,Texas,6.3
1995,Aug,Utah,3.7
1995,Aug,Vermont,3.9
1995,Aug,Virginia,4.6
1995,Aug,Washington,6.4
1995,Aug,West Virginia,7.8
1995,Aug,Wisconsin,3.4
1995,Aug,Wyoming,4.1
1995,Oct,Alabama,5.5
1995,Oct,Alaska,6.8
1995,Oct,Arizona,5.2
1995,Oct,Arkansas,4.2
1995,Oct,California,7.5
1995,Oct,Colorado,3.7
1995,Oct,Connecticut,4.8
1995,Oct,Delaware,4.4
1995,Oct,District of Columbia,8.7
1995,Oct,Florida,5.6
1995,Oct,Georgia,4.9
1995,Oct,Hawaii,6.1
1995,Oct,Idaho,4.6
1995,Oct,Illinois,4.7
1995,Oct,Indiana,4.1
1995,Oct,Iowa,3
1995,Oct,Kansas,3.8
1995,Oct,Kentucky,4.9
1995,Oct,Louisiana,6.4
1995,Oct,Maine,4.9
1995,Oct,Maryland,4.8
1995,Oct,Massachusetts,4.6
1995,Oct,Michigan,4.3
1995,Oct,Minnesota,3
1995,Oct,Mississippi,5.8
1995,Oct,Missouri,3.7
1995,Oct,Montana,5.1
1995,Oct,Nebraska,2.4
1995,Oct,Nevada,5
1995,Oct,New Hampshire,3.4
1995,Oct,New Jersey,5.8
1995,Oct,New Mexico,6.4
1995,Oct,New York,6
1995,Oct,North Carolina,4
1995,Oct,North Dakota,2.3
1995,Oct,Ohio,4.6
1995,Oct,Oklahoma,4.5
1995,Oct,Oregon,4.3
1995,Oct,Pennsylvania,5.3
1995,Oct,Rhode Island,5.5
1995,Oct,South Carolina,5.2
1995,Oct,South Dakota,2.6
1995,Oct,Tennessee,4.9
1995,Oct,Texas,5.9
1995,Oct,Utah,3.1
1995,Oct,Vermont,3.6
1995,Oct,Virginia,4.3
1995,Oct,Washington,5.8
1995,Oct,West Virginia,7.1
1995,Oct,Wisconsin,3.1
1995,Oct,Wyoming,4.2
1995,Nov,Alabama,5.2
1995,Nov,Alaska,7.5
1995,Nov,Arizona,4.9
